Title,Current Price,Old Price,Diff,url
"Monitor Curvo Gigabyte G27FC VA 27"" FHD 16:9 165Hz FreeSync / G-SYNC Compatible","239,90","264,90","
        -24     ",https://www.pcdiga.com/monitor-curvo-gigabyte-g27fc-va-27-fhd-16-9-165hz-freesync-g-sync-compatible
"Monitor Curvo AOC C27G2ZE VA 27"" FHD 16:9 240Hz FreeSync","249,90","318,90","
        -68     ",https://www.pcdiga.com//monitor-aoc-27-c27g2ze-curvo-240hz-freesync-0-5ms
"Monitor Asus TUF Gaming VG259Q IPS 24.5"" FHD 16:9 144Hz FreeSync / G-SYNC Compatible","249,90","309,90","
        -59     ",https://www.pcdiga.com/monitor-asus-tuf-gaming-vg259q-ips-24-5-fhd-16-9-144hz-freesync-g-sync-compatible
"Monitor LG 27GL650F-B IPS 27"" FHD 16:9 144Hz FreeSync / G-SYNC Compatible","249,90","349,90","
        -99     ",https://www.pcdiga.com/monitor-lg-27gl650f-b-ips-27-fhd-16-9-144hz-freesync-g-sync-compatible
"Monitor Lenovo D32q-20 IPS 31.5"" QHD 16:9 75Hz FreeSync","249,90","319,90","
        -69     ",https://www.pcdiga.com/monitor-lenovo-d32q-20-ips-31-5-qhd-16-9-75hz-freesync
"Monitor LG 27UL550-W IPS 27"" 4K UHD 16:9 60Hz FreeSync","249,90","379,90","
        -129     ",https://www.pcdiga.com/monitor-lg-27ul550-w-uhd-4k-hdr-freesynctm-e-srgb
"Monitor Curvo AOC G1 C32G1 VA 31.5"" FHD 16:9 144Hz FreeSync","249,90","349,90","
        -99     ",https://www.pcdiga.com/monitor-curvo-aoc-g1-c32g1-va-31-5-fhd-16-9-144hz-freesync
"Monitor Gigabyte M27F Gaming IPS 27"" FHD 16:9 144Hz FreeSync","259,90",,,https://www.pcdiga.com/monitor-gigabyte-m27f-gaming-ips-27-fhd-16-9-144hz-freesync
"Monitor Dell P2720D IPS 27"" QHD 16:9 60Hz","259,90","284,90","
        -25     ",https://www.pcdiga.com/monitor-dell-p2720d-ips-27-qhd-16-9-60hz
"Monitor Asus VG279Q IPS 27"" FHD 16:9 144Hz FreeSync","264,90","369,90","
        -105     ",https://www.pcdiga.com/monitor-asus-vg279q-ips-27-fhd-16-9-144hz-freesync
